label,kind,level_bp,cr_bp
2y(2s3s10s),fly,-26.40007629146396,2.2446201389074076
2y(2s3s15s),fly,-41.22147603158129,0.803901769010622
2y(2s3s20s),fly,-44.50411880945512,-1.617483058263474
2y(2s3s30s),fly,-36.877285550138765,-3.983373628572167
2y(2s5s7s),fly,2.783535081275545,-3.77052273902234
2y(2s5s10s),fly,-9.848787032451582,-3.060204261582385
2y(2s5s15s),fly,-24.67018677256891,-4.50092263147917
2y(2s5s20s),fly,-27.952829550442743,-6.9223074587532665
2y(2s5s30s),fly,-20.325996291126387,-9.28819802906196
2y(2s7s10s),fly,7.230077672124821,-5.091223161851303
2y(2s7s15s),fly,-7.5913220679925075,-6.531941531748089
2y(2s7s20s),fly,-10.87396484586634,-8.953326359022185
2y(2s7s30s),fly,-3.2471315865499832,-11.319216929330878
2y(2s10s15s),fly,17.673322159461748,-7.952578486627999
2y(2s10s20s),fly,14.390679381587915,-10.373963313902095
2y(2s10s30s),fly,22.017512640904272,-12.739853884210788
2y(2s15s20s),fly,44.03347886182257,-7.492526574108524
2y(2s15s30s),fly,51.66031212113893,-9.858417144417217
2y(2s20s30s),fly,58.22559767688659,-5.015647489869025
2y(3s5s7s),fly,-0.2637877227820127,-1.636902750110437
2y(3s5s10s),fly,-12.89610983650914,-0.9265842726704818
2y(3s5s15s),fly,-27.71750957662647,-2.3673026425672674
2y(3s5s20s),fly,-31.0001523545003,-4.7886874698413635
2y(3s5s30s),fly,-23.373319095183945,-7.1545780401500565
2y(3s7s10s),fly,4.1827548680672635,-2.9576031729394003
2y(3s7s15s),fly,-10.638644872050065,-4.398321542836186
2y(3s7s20s),fly,-13.921287649923897,-6.819706370110282
2y(3s7s30s),fly,-6.294454390607541,-9.185596940418975
2y(3s10s15s),fly,14.62599935540419,-5.818958497716096
2y(3s10s20s),fly,11.343356577530358,-8.240343324990192
2y(3s10s30s),fly,18.970189836846714,-10.606233895298885
2y(3s15s20s),fly,40.986156057765015,-5.358906585196621
2y(3s15s30s),fly,48.61298931708137,-7.724797155505314
2y(3s20s30s),fly,55.178274872829036,-2.882027500957122
2y(5s7s10s),fly,-4.092889761438926,-0.3051909726945041
2y(5s7s15s),fly,-18.914289501556254,-1.7459093425912897
2y(5s7s20s),fly,-22.196932279430087,-4.167294169865386
2y(5s7s30s),fly,-14.57009902011373,-6.533184740174079
2y(5s10s15s),fly,6.350354725898001,-3.1665462974712
2y(5s10s20s),fly,3.0677119480241686,-5.587931124745296
2y(5s10s30s),fly,10.694545207340525,-7.953821695053989
2y(5s15s20s),fly,32.710511428258826,-2.706494384951725
2y(5s15s30s),fly,40.33734468757518,-5.072384955260418
2y(5s20s30s),fly,46.90263024332285,-0.2296153007122257
2y(7s10s15s),fly,-2.189077626390201,-2.1510368473367407
2y(7s10s20s),fly,-5.471720404264033,-4.572421674610837
2y(7s10s30s),fly,2.155112855052323,-6.93831224491953
2y(7s15s20s),fly,24.171079075970624,-1.6909849348172656
2y(7s15s30s),fly,31.79791233528698,-4.056875505125959
2y(7s20s30s),fly,38.363197891034645,0.7858941494222336
2y(10s15s20s),fly,11.538756962243497,-0.9806664573773105
2y(10s15s30s),fly,19.165590221559853,-3.3465570276860035
2y(10s20s30s),fly,25.730875777307517,1.4962126268621887
2y(15s20s30s),fly,10.909476037190188,0.05549425696540311
3y(2s3s5s),fly,-4.416143855747293,-0.812177969701338
3y(2s3s7s),fly,-13.441102485401245,-0.326651692335588
3y(2s3s10s),fly,-26.02233885356293,-0.37773743790103254
3y(2s3s15s),fly,-38.552214192322026,-2.6692618392592635
3y(2s3s20s),fly,-39.48799851209941,-5.016120297355712
3y(2s3s30s),fly,-29.329991380959825,-7.54729416917894
3y(2s5s7s),fly,4.891418279661195,-2.1078831983856503
3y(2s5s10s),fly,-7.689818088500488,-2.158968943951095
