windows,svr_c,svr_gamma,signal_threshold,retrain_every,total_pnl,sharpe,max_drawdown,n_trades,win_rate
fast,100.0,0.5,0.0,48,-1575405.912488257,-0.29353444586832367,-4892591.077419013,93.0,0.5020983213429256
slow,100.0,0.5,0.0,48,-10109773.069968456,-1.8833154967948178,-12262634.73595963,103.0,0.4896551724137931
matlab_hourly,100.0,0.5,0.0,96,1564551.119566997,0.291729696977923,-3994466.7544290237,51.0,0.4982003599280144
fast,100.0,0.5,0.0,96,-646395.8443033014,-0.1205960434579418,-5119510.553167288,89.0,0.4962518740629685
slow,100.0,0.5,0.0,96,-3547680.779064141,-0.6615967675422634,-6563478.96062777,67.0,0.49055472263868066
matlab_hourly,100.0,0.5,0.0001,24,-1501487.871767307,-0.2967034539218414,-7511834.172926289,153.0,0.4981311586816174
fast,100.0,0.5,0.0001,24,2339798.2175483494,0.45477245309741965,-3900860.1052330136,159.0,0.5046343975283213
slow,100.0,0.5,0.0001,24,-5939520.269233961,-1.1487848893518895,-7283974.499426408,147.0,0.4978268137746573
matlab_hourly,100.0,0.5,0.0001,48,-5892148.602625138,-1.1633378357023194,-8373370.220067373,109.0,0.4847750865051903
fast,100.0,0.5,0.0001,48,-2921507.8183998764,-0.5655031482100056,-5765968.799342742,83.0,0.49641760491299897
slow,100.0,0.5,0.0001,48,-8314197.0732440045,-1.58410765667307,-10377793.70592778,101.0,0.491320013101867
matlab_hourly,100.0,0.5,0.0001,96,-707378.7777003607,-0.13649561710436225,-4855882.167065469,59.0,0.49146300636089724
fast,100.0,0.5,0.0001,96,2450190.337356524,0.4870735948544905,-4008721.364285892,77.0,0.4954289732770745
slow,100.0,0.5,0.0001,96,-1763346.855747791,-0.3361108089549735,-6048984.522438424,63.0,0.48966666666666664
matlab_hourly,100.0,0.5,0.0005,24,55250.00106612914,0.014191425340947125,-4669042.932455665,119.0,0.49766627771295213
fast,100.0,0.5,0.0005,24,1871072.1993491435,0.48615688277643626,-2899440.6104793632,121.0,0.5053627760252366
slow,100.0,0.5,0.0005,24,-5262729.00067235,-1.2078422289337762,-6414228.115573366,117.0,0.49612403100775193
matlab_hourly,100.0,0.5,0.0005,48,-1872588.0429134483,-0.4545741939373116,-3999293.8704755246,71.0,0.49
fast,100.0,0.5,0.0005,48,-1965486.901268796,-0.46420042501100145,-4120038.06870713,71.0,0.48451053283767037
slow,100.0,0.5,0.0005,48,-8341164.187995127,-1.814176701257203,-9103392.34540465,73.0,0.4812753036437247
matlab_hourly,100.0,0.5,0.0005,96,1179147.1739294478,0.31323887376209086,-3444854.7526208516,41.0,0.4948604992657856
fast,100.0,0.5,0.0005,96,-405163.5101116228,-0.09143233586685247,-4242201.676134275,47.0,0.4923329682365827
slow,100.0,0.5,0.0005,96,-3850008.3492158665,-0.9311358460343461,-5331570.199559546,43.0,0.4865
matlab_hourly,100.0,1.0,0.0,24,-3154168.391842809,-0.5872361951561232,-8835353.709374055,159.0,0.49325337331334335
fast,100.0,1.0,0.0,24,118882.8236857943,0.022116859328122344,-5804349.971992001,205.0,0.4980521426430926
slow,100.0,1.0,0.0,24,-6206464.7951843925,-1.1558372649792046,-9999996.00244952,141.0,0.5026978417266187
matlab_hourly,100.0,1.0,0.0,48,-4799032.681017432,-0.8941070180156826,-9930459.007676184,103.0,0.4952038369304556
fast,100.0,1.0,0.0,48,-3525473.2015525084,-0.6564423499853008,-5884287.389254786,145.0,0.4958033573141487
slow,100.0,1.0,0.0,48,-10221795.133892702,-1.9030340641351213,-10847445.32224166,105.0,0.49205397301349324
matlab_hourly,100.0,1.0,0.0,96,-3533838.0310254786,-0.6589129409173472,-8217599.812778688,63.0,0.48890887290167867
fast,100.0,1.0,0.0,96,-3267322.729258351,-0.6086803140726518,-7772114.386140222,89.0,0.49280575539568344
slow,100.0,1.0,0.0,96,-7365324.445688752,-1.3725016391744034,-8440667.47696842,61.0,0.4911544227886057
matlab_hourly,100.0,1.0,0.0001,24,-2297483.1523727756,-0.4691259423048648,-6752028.357071681,149.0,0.49454184584849487
fast,100.0,1.0,0.0001,24,-2798084.319048444,-0.5546461278550671,-6421041.101416355,199.0,0.4906459583480409
slow,100.0,1.0,0.0001,24,-5905007.185976712,-1.165894196670973,-9382839.939362586,141.0,0.49765572672471536
matlab_hourly,100.0,1.0,0.0001,48,-3120322.2116876733,-0.6017529778309911,-7673809.172131652,93.0,0.4946595460614152
fast,100.0,1.0,0.0001,48,-3199973.5132115893,-0.6250754783645471,-5584735.283603721,137.0,0.492091388400703
slow,100.0,1.0,0.0001,48,-11360445.912764685,-2.1834361554409916,-11986096.101113643,107.0,0.48635904344897274
matlab_hourly,100.0,1.0,0.0001,96,-2378565.8108131965,-0.4572580864308487,-6957913.241086107,63.0,0.48849441157133466
fast,100.0,1.0,0.0001,96,-5074924.541439399,-0.9807834944834334,-8544068.949761307,87.0,0.4899665551839465
slow,100.0,1.0,0.0001,96,-5388727.089520387,-1.0659372263851121,-7663115.761650082,61.0,0.4918847300430606
matlab_hourly,100.0,1.0,0.0005,24,-1208114.070640128,-0.2975047143026404,-5703468.088632677,123.0,0.47686832740213525
fast,100.0,1.0,0.0005,24,943343.5473209555,0.2493876376529316,-3808690.5372243635,139.0,0.4943467336683417
slow,100.0,1.0,0.0005,24,-2809241.889376009,-0.7004707123915633,-6561001.661084378,107.0,0.49125
matlab_hourly,100.0,1.0,0.0005,48,-228195.6779039008,-0.05187915874985137,-4971058.344928144,65.0,0.48638132295719844
fast,100.0,1.0,0.0005,48,-1668002.0527624777,-0.45466004442029534,-3617409.976402276,75.0,0.4922779922779923
slow,100.0,1.0,0.0005,48,-7793727.930865312,-1.7590182662050409,-8651905.218125287,69.0,0.48211143695014663
matlab_hourly,100.0,1.0,0.0005,96,454174.4278310022,0.11555906833907992,-3227584.6975221066,41.0,0.49270959902794653
fast,100.0,1.0,0.0005,96,-330732.99357735546,-0.07621833759489101,-4296403.56947295,47.0,0.49566724436741766
slow,100.0,1.0,0.0005,96,-3973320.6539728986,-0.9900848662099554,-5409713.992434833,45.0,0.4901297236322617
matlab_hourly,400.0,0.01,0.0,24,1288746.0333957323,0.23965178689335925,-5297953.893007413,165.0,0.5089874176153385
fast,400.0,0.01,0.0,24,-5066922.0384824835,-0.9419119168552661,-8348591.310077136,149.0,0.5067466266866567
slow,400.0,0.01,0.0,24,-3643510.9385346905,-0.6785083817836568,-7627824.37408294,165.0,0.49970041941282206
matlab_hourly,400.0,0.01,0.0,48,-5270670.475226757,-0.9819027558551128,-8874429.246122,77.0,0.497000599880024
fast,400.0,0.01,0.0,48,-6750584.144868573,-1.2576440723565991,-8565108.961859168,89.0,0.504047976011994
slow,400.0,0.01,0.0,48,-4121068.852854469,-0.7692231316076791,-6555018.539133944,61.0,0.4931013797240552
matlab_hourly,400.0,0.01,0.0,96,-3195229.424871064,-0.5961844823387011,-5357242.371901314,53.0,0.49325337331334335
fast,400.0,0.01,0.0,96,1523549.1665421869,0.28410222877098196,-5170781.94908166,45.0,0.5038992201559688
slow,400.0,0.01,0.0,96,2683758.2816637806,0.5005093601458787,-4008721.3642858937,53.0,0.4935532233883059
