clock,bucket,k,beta,se_cluster,se_nw
exec,TY_UXY,-12,0.0029913649929398673,0.0018608263898718823,0.0018555094859071023
exec,TY_UXY,-11,0.003800285797364584,0.0019372279676893346,0.0019741743045536206
exec,TY_UXY,-10,-0.0013618356262673167,0.0025081981951107397,0.0025277855860613937
exec,TY_UXY,-9,-0.0036717922590748663,0.0021348866880171674,0.002047638085774494
exec,TY_UXY,-8,0.0037504567191403823,0.003259796445476133,0.0030183100243424974
exec,TY_UXY,-7,0.0002679813478405838,0.0022818806505076872,0.002621549995593959
exec,TY_UXY,-6,0.0034237431119752944,0.0020941727246334353,0.002061498515437283
exec,TY_UXY,-5,-0.0003019134108210734,0.0023461382306670634,0.002363325889489383
exec,TY_UXY,-4,0.0005196195404791133,0.0028441451872639476,0.0021129552391399653
exec,TY_UXY,-3,-0.0020351786162488457,0.004328929098083314,0.003875676714709996
exec,TY_UXY,-2,0.00035332583788657846,0.0025410382171284977,0.00253869547475636
exec,TY_UXY,-1,2.413515835461453e-05,0.003219505151702328,0.0026559167269040265
exec,TY_UXY,0,0.0030053919231783277,0.0032324134218171493,0.003297888949804228
exec,TY_UXY,1,-0.0032891200456401635,0.00305164475042495,0.002485954200664808
exec,TY_UXY,2,-0.002231972875038933,0.0025110809971628147,0.0027904786994017656
exec,TY_UXY,3,-0.00039169988034901045,0.002459900604271837,0.002596819415968532
exec,TY_UXY,4,-0.00257123695670591,0.0024536175444379664,0.00242061315728035
exec,TY_UXY,5,0.003041537867452151,0.002500108168138958,0.0026602716425672334
exec,TY_UXY,6,-0.0005080438759658118,0.003916450089208082,0.003837665380422479
exec,TY_UXY,7,-0.00038609272618168135,0.002455330057558603,0.002083909482067911
exec,TY_UXY,8,-0.0003844729724452136,0.0038339589381135926,0.0035120087126931615
exec,TY_UXY,9,0.002727081420965922,0.0018971909605888322,0.0022217159484621053
exec,TY_UXY,10,0.0019474409570980485,0.002788649681241804,0.0028397824030088606
exec,TY_UXY,11,0.0005752802600930418,0.0018986950270870587,0.0019206672208329945
exec,TY_UXY,12,0.0008050752294207148,0.001952449800442172,0.0018582637224025316
exec,TY_UXY,13,0.0013386557999422127,0.002076644114773384,0.0021204571483038124
exec,TY_UXY,14,-0.002518449578485976,0.0030869869293957152,0.0027506450922053834
exec,TY_UXY,15,0.00010275660180001987,0.0018482442938232869,0.0019844179693023502
exec,TY_UXY,16,-0.0020378350546340976,0.002359821012804358,0.003020935133042947
exec,TY_UXY,17,0.007021487151466662,0.0031896700207430036,0.0028785626661296756
exec,TY_UXY,18,-0.00171012649620035,0.0026954637331501243,0.0022261738627740576
exec,TY_UXY,19,-0.0017969507471515618,0.001935698153308494,0.0024554817364302256
exec,TY_UXY,20,0.0006697452885110179,0.0020701761447328437,0.0025656097196833584
exec,TY_UXY,21,-0.00384779218820178,0.0029158948996111846,0.0030453306587118027
exec,TY_UXY,22,-0.005188447206517656,0.0019495007008266515,0.0022912576716109492
exec,TY_UXY,23,-0.00013024175565650193,0.0024184037804891893,0.0022402765152597683
exec,TY_UXY,24,-0.0056379013792466496,0.0024726064682787925,0.0025801928362469634
exec,TY_UXY,25,0.0002826911001156924,0.0027726048312245294,0.002716474093943004
exec,TY_UXY,26,-0.0034369916485953657,0.0024092104173415573,0.0023050918394805615
exec,TY_UXY,27,-0.0009822713112751771,0.0022133201796953467,0.0021142723488049475
exec,TY_UXY,28,0.004065182364661354,0.002193029201164181,0.002353494535457987
exec,TY_UXY,29,0.0035984921418154648,0.0032563595518620508,0.0036189617814363843
exec,TY_UXY,30,0.002874132655270685,0.002177766701562606,0.002391978366027288
exec,US,-30,-0.0020058323419169617,0.0027767840008070892,0.0034202213611068386
exec,US,-29,-0.0014918996940694513,0.0037509141784923274,0.003691910775448068
exec,US,-28,0.0008416472040685782,0.002979682332282887,0.003240176462903195
exec,US,-27,0.0029949833429654183,0.003245011657952122,0.003150755942435074
exec,US,-26,0.0002977825415741071,0.0026626027589376506,0.002922925370612128
exec,US,-25,0.0069395849436777145,0.0029467245680966443,0.0031625207154847615
exec,US,-24,-0.0003522606283630376,0.0027903723081748205,0.0028562900090790626
