TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_DeliveryType,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_SettlementCurrency,Attributes_DeliveryType,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Forward,NDF,UPI,QZQRRQVHX59S,New,,2023-12-13 03:20:37,JFTXFC,NA/Fwd NDF COP ZAR,COP ZAR,Spot,Forward price of underlying instrument,CASH,Cash,COP,ZAR,ZAR,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZQD1BL8T6DQ,New,,2023-12-13 03:20:37,JFTXFC,NA/Fwd NDF NZD RUB,NZD RUB,Spot,Forward price of underlying instrument,CASH,Cash,NZD,RUB,RUB,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZTX7FB9QL35,New,,2023-12-13 03:20:52,JFTXFC,NA/Fwd NDF DKK RUB,DKK RUB,Spot,Forward price of underlying instrument,CASH,Cash,DKK,RUB,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZC0TWPL0QT7,New,,2023-12-13 03:21:18,JFTXFC,NA/Fwd NDF RWF USD,RWF USD,Spot,Forward price of underlying instrument,CASH,Cash,RWF,USD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ8S52FSNPTP,New,,2023-12-13 03:22:02,JFTXFC,NA/Fwd NDF AUD SGD,AUD SGD,Spot,Forward price of underlying instrument,CASH,Cash,AUD,SGD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ82B4TV6J1H,New,,2023-12-13 03:22:08,JFTXFC,NA/Fwd NDF ARS MXN,ARS MXN,Spot,Forward price of underlying instrument,CASH,Cash,ARS,MXN,MXN,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZL4VDKRHTJH,New,,2023-12-13 03:22:15,JFTXFC,NA/Fwd NDF CZK KRW,CZK KRW,Spot,Forward price of underlying instrument,CASH,Cash,CZK,KRW,CZK,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ36RMNQMHTW,New,,2023-12-13 03:22:21,JFTXFC,NA/Fwd NDF EUR INR,EUR INR,Spot,Forward price of underlying instrument,CASH,Cash,EUR,INR,GBP,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZRQPWLDG780,New,,2023-12-13 03:22:22,JFTXFC,NA/Fwd NDF RUB UAH,RUB UAH,Spot,Forward price of underlying instrument,CASH,Cash,RUB,UAH,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ82CZ1VSX5M,New,,2023-12-13 03:23:25,JFTXFC,NA/Fwd NDF JPY NZD,JPY NZD,Spot,Forward price of underlying instrument,CASH,Cash,JPY,NZD,JPY,,,,,,,,,
