bank,Date,TimestampNYC,ts_local,local_hour,Title,Impact,Currency,EventId
FED,2021-09-30,2021-09-30 10:00:00-04:00,2021-09-30 10:00:00-04:00,10,Fed Chairman Powell Testifies,high,USD,122723
FED,2021-09-30,2021-09-30 11:00:00-04:00,2021-09-30 11:00:00-04:00,11,FOMC Member Bostic Speaks,medium,USD,122664
FED,2021-09-30,2021-09-30 12:30:00-04:00,2021-09-30 12:30:00-04:00,12,FOMC Member Evans Speaks,medium,USD,122665
FED,2021-10-05,2021-10-05 13:15:00-04:00,2021-10-05 13:15:00-04:00,13,FOMC Member Quarles Speaks,medium,USD,122730
FED,2021-10-06,2021-10-06 09:00:00-04:00,2021-10-06 09:00:00-04:00,9,FOMC Member Bostic Speaks,low,USD,122728
FED,2021-10-06,2021-10-06 11:30:00-04:00,2021-10-06 11:30:00-04:00,11,FOMC Member Bostic Speaks,low,USD,122727
FED,2021-10-07,2021-10-07 08:40:00-04:00,2021-10-07 08:40:00-04:00,8,FOMC Member Williams Speaks,low,USD,122726
FED,2021-10-11,2021-10-11 18:00:00-04:00,2021-10-11 18:00:00-04:00,18,FOMC Member Evans Speaks,low,USD,123178
FED,2021-10-12,2021-10-12 11:15:00-04:00,2021-10-12 11:15:00-04:00,11,FOMC Member Clarida Speaks,medium,USD,123192
FED,2021-10-12,2021-10-12 12:30:00-04:00,2021-10-12 12:30:00-04:00,12,FOMC Member Bostic Speaks,low,USD,123179
FED,2021-10-13,2021-10-13 16:30:00-04:00,2021-10-13 16:30:00-04:00,16,FOMC Member Brainard Speaks,medium,USD,123193
FED,2021-10-14,2021-10-13 20:00:00-04:00,2021-10-13 20:00:00-04:00,20,FOMC Member Bowman Speaks,medium,USD,123194
FED,2021-10-14,2021-10-14 10:00:00-04:00,2021-10-14 10:00:00-04:00,10,FOMC Member Bostic Speaks,low,USD,123183
FED,2021-10-14,2021-10-14 13:00:00-04:00,2021-10-14 13:00:00-04:00,13,FOMC Member Barkin Speaks,medium,USD,123185
FED,2021-10-15,2021-10-15 12:20:00-04:00,2021-10-15 12:20:00-04:00,12,FOMC Member Williams Speaks,medium,USD,123186
FED,2021-10-18,2021-10-18 05:30:00-04:00,2021-10-18 05:30:00-04:00,5,FOMC Member Quarles Speaks,low,USD,123716
FED,2021-10-19,2021-10-19 11:00:00-04:00,2021-10-19 11:00:00-04:00,11,FOMC Member Daly Speaks,low,USD,123644
FED,2021-10-19,2021-10-19 13:15:00-04:00,2021-10-19 13:15:00-04:00,13,FOMC Member Bowman Speaks,medium,USD,123720
FED,2021-10-19,2021-10-19 14:50:00-04:00,2021-10-19 14:50:00-04:00,14,FOMC Member Bostic Speaks,low,USD,123645
