config,instrument,release_set,measure_min,hold_min,min_move_bp,trades,total_bp,avg_bp,hit_rate,sharpe,sr_per_trade,t_stat,max_dd_bp,trades_per_year,span_days
FV|tier1|m1|h60|mv0,FV,tier1,1,60,0.0,461,49.057381128442685,0.10641514344564573,0.4837310195227766,0.3956647174955341,0.05040843575735941,1.0823150152923435,-45.65403395935104,61.60957426535046,2733.0208333333335
FV|tier1|m1|h60|mv2,FV,tier1,1,60,2.0,1,4.455622781737487,4.455622781737487,1.0,,0.0,0.0,0.0,365.25,0.0
FV|tier1|m1|h120|mv0,FV,tier1,1,120,0.0,405,108.72814512182937,0.2684645558563688,0.49382716049382713,0.5893940699678717,0.080127037083922,1.6125255157976655,-51.58028543129906,54.10698773146384,2733.9583333333335
FV|tier1|m1|h120|mv2,FV,tier1,1,120,2.0,1,6.00540461886357,6.00540461886357,1.0,,0.0,0.0,0.0,365.25,0.0
FV|tier1|m1|h240|mv0,FV,tier1,1,240,0.0,398,112.21197643703573,0.2819396392890345,0.49748743718592964,0.49873223691317736,0.06839537551354316,1.3644834560639254,-54.71548933411748,53.17180522746323,2733.9583333333335
FV|tier1|m1|h240|mv2,FV,tier1,1,240,2.0,1,5.424236429941289,5.424236429941289,1.0,,0.0,0.0,0.0,365.25,0.0
FV|tier1|m2|h15|mv0,FV,tier1,2,15,0.0,501,49.27157892240477,0.09834646491497959,0.47904191616766467,0.8013576077640188,0.09868149753258247,2.2087908492185977,-10.753657562366342,65.94490784188595,2774.8958333333335
FV|tier1|m2|h15|mv2,FV,tier1,2,15,2.0,1,1.5497818371260825,1.5497818371260825,1.0,,0.0,0.0,0.0,365.25,0.0
FV|tier1|m2|h30|mv0,FV,tier1,2,30,0.0,499,42.91112857599113,0.0859942456432688,0.4849699398797595,0.4136573679983392,0.05104094676888637,1.1401683846191675,-21.17585121488061,65.68165471676865,2774.8958333333335
FV|tier1|m2|h30|mv2,FV,tier1,2,30,2.0,1,3.487009133533686,3.487009133533686,1.0,,0.0,0.0,0.0,365.25,0.0
FV|tier1|m2|h60|mv0,FV,tier1,2,60,0.0,498,67.65298517004652,0.13584936781133838,0.5060240963855421,0.5287326365124256,0.06530548771171484,1.4573516216692313,-44.1201553376516,65.55002815421,2774.8958333333335
FV|tier1|m2|h60|mv2,FV,tier1,2,60,2.0,1,4.649345511378248,4.649345511378248,1.0,,0.0,0.0,0.0,365.25,0.0
FV|tier1|m2|h120|mv0,FV,tier1,2,120,0.0,440,116.8502920489521,0.26556884556580024,0.4863636363636364,0.6128950329784908,0.08053561762395375,1.689329367137014,-28.74373553441363,57.915687525808025,2774.8958333333335
FV|tier1|m2|h120|mv2,FV,tier1,2,120,2.0,1,6.19912734850433,6.19912734850433,1.0,,0.0,0.0,0.0,365.25,0.0
FV|tier1|m2|h240|mv0,FV,tier1,2,240,0.0,433,95.30225615985407,0.22009758928372763,0.4896073903002309,0.4164481220868343,0.055162658707795784,1.1478605710205505,-54.56679040894668,56.994301587897446,2774.8958333333335
FV|tier1|m2|h240|mv2,FV,tier1,2,240,2.0,1,5.617959159582049,5.617959159582049,1.0,,0.0,0.0,0.0,365.25,0.0
FV|tier1|m5|h15|mv0,FV,tier1,5,15,0.0,545,30.67069881908147,0.0562765115946449,0.43669724770642204,0.5757366998958443,0.06797573200991168,1.5869094421372685,-17.838758768484478,71.73647659446677,2774.8958333333335
FV|tier1|m5|h15|mv2,FV,tier1,5,15,2.0,7,-1.4297549665109717,-0.20425070950156737,0.42857142857142855,-0.1422743966846881,-0.11290042021273104,-0.2987064347975764,-1.897229435834443,1.5880434782608694,1610.0
FV|tier1|m5|h30|mv0,FV,tier1,5,30,0.0,542,45.289315330492705,0.08355962238098286,0.4797047970479705,0.4575215229731753,0.05416766514040493,1.2610716407665217,-22.77014161392681,71.3415969067908,2774.8958333333335
FV|tier1|m5|h30|mv2,FV,tier1,5,30,2.0,7,10.874988960022552,1.5535698514317933,0.8571428571428571,0.7335206596711411,0.582077960907665,1.5400335282132578,0.0,1.5880434782608694,1610.0
