,day,bucket,lls,peak_lag_min,peak_rho,n_x,n_y
258,43,SFRH26,-0.05684399069477148,-60.0,-0.13873353894302803,96,96
259,43,SFRM26,-1.6107607322001716,-60.0,-0.20185338992595286,96,96
260,43,SFRU26,0.16873060272807025,0.0,-0.26738876627706215,96,96
261,43,SFRZ26,0.9548525264869773,15.0,0.22875620221585452,96,96
262,43,SFRH27,5.863532773294467,1.0,0.21223577367397792,96,96
263,43,SFRM27,1.2334549225494937,15.0,0.21869519383374528,96,96
264,44,SFRH26,-0.013058794108458952,-15.0,-0.1925388903178422,96,96
265,44,SFRM26,20.980524750586554,5.0,-0.2004136037093668,96,96
266,44,SFRU26,-0.08369214329965124,1.0,0.19059286861202304,96,96
267,44,SFRZ26,-4.064504594632254,-1.0,-0.21230594533930047,96,96
268,44,SFRH27,-0.6289784298966532,-240.0,0.1750312148881359,96,96
269,44,SFRM27,-5.750161453856642,-240.0,0.27496463340509153,96,96
270,45,SFRM26,-0.05677318814251891,-1.0,-0.2450270769782014,96,96
271,45,SFRU26,0.13233645926314366,0.0,-0.11866059198984172,96,96
272,45,SFRZ26,0.3190840331816911,120.0,0.12114628932796996,96,96
273,45,SFRH27,1.3931141567097522,5.0,0.2320556047165148,96,96
274,45,SFRM27,-0.5382860651485808,0.0,-0.2472622200688217,96,96
275,45,SFRU27,-0.740329856210459,-5.0,0.17834052364621714,96,96
276,46,SFRM26,-0.05939843485670217,-1.0,-0.10826160724740276,96,96
277,46,SFRU26,0.1317061952180286,5.0,0.3489566511335846,96,96
278,46,SFRZ26,-0.2911417077632158,5.0,0.29346613489329243,96,96
279,46,SFRH27,-2.8078640609245817,-1.0,-0.26799848857813735,96,96
280,46,SFRM27,-0.06119011997171295,-240.0,0.24482021019797826,96,96
281,46,SFRU27,-0.018630766538563787,-240.0,0.1341705124931546,96,96
282,47,SFRM26,-3.0521126155649068,-15.0,-0.3526651998240797,96,96
283,47,SFRU26,2.317545688460513,60.0,-0.2083226801678809,96,96
284,47,SFRZ26,2.6866966149727443,60.0,-0.2388493717628583,96,96
285,47,SFRH27,-0.1933210988325279,-30.0,0.16363612635166375,96,96
286,47,SFRM27,-2.6656229441628616,-30.0,0.34735142975057337,96,96
287,47,SFRU27,-0.5217728984519057,-30.0,0.29328220752503786,96,96
288,48,SFRM26,-7.59017116428143,-1.0,-0.3860005376156072,96,96
289,48,SFRU26,-0.4444653643202237,-1.0,-0.2064026425880104,96,96
290,48,SFRZ26,0.5282979224530172,-1.0,-0.28270996465216947,96,96
291,48,SFRH27,3.033056265177716,1.0,-0.25097924982573167,96,96
292,48,SFRM27,1.2738537594604116,30.0,-0.21766455014452257,96,96
293,48,SFRU27,-0.099592386849063,-1.0,-0.1626437799789523,96,96
294,49,SFRM26,0.41489588056537036,30.0,-0.25861077111470393,96,96
295,49,SFRU26,1.0497315140444556,30.0,0.313564965763771,96,96
296,49,SFRZ26,-110.38912805707731,-60.0,-0.47215802939588086,96,96
297,49,SFRH27,-1.2394745438919543,-60.0,-0.3161369854168217,96,96
298,49,SFRM27,-0.06401540418034556,15.0,-0.1219253608882168,96,96
299,49,SFRU27,-4.538632379581145,-60.0,0.26873926160352685,96,96
300,50,SFRM26,0.3900131628083835,240.0,0.18721825005537598,96,96
301,50,SFRU26,0.2015986391560281,30.0,0.1526743057383806,96,96
302,50,SFRZ26,-0.03500337887319767,-15.0,-0.17014271537970777,96,96
303,50,SFRH27,-1.171900609138457,-15.0,-0.2054011907649731,96,96
304,50,SFRM27,-0.5248146075227547,-5.0,0.20123004306722517,96,96
305,50,SFRU27,-0.08189216673669936,240.0,0.16010772788924382,96,96
306,51,SFRM26,-0.12224256988622556,-5.0,-0.27473932276511204,96,96
307,51,SFRU26,-0.2138503248270405,-5.0,-0.2345066781304413,96,96
308,51,SFRZ26,-0.3446536170533598,15.0,-0.13749048543301565,96,96
309,51,SFRH27,-0.004036128540599098,-5.0,-0.17989930037678672,96,96
310,51,SFRM27,-29.760441245160038,-1.0,-0.4532662164399555,96,96
311,51,SFRU27,-0.26360493761099163,0.0,0.2618376403822056,96,96
312,52,SFRM26,1.3811731624177679,30.0,0.2756355885117821,96,96
313,52,SFRU26,-0.17820145538025955,-15.0,-0.2576892008292812,96,96
314,52,SFRZ26,-0.493400858777869,-15.0,-0.1318560310755643,96,96
315,52,SFRH27,0.2045123525449076,-15.0,-0.19659876391487188,96,96
316,52,SFRM27,-2.0546217333072496,-15.0,-0.279602603767901,96,96
317,52,SFRU27,-0.04090280662479292,-30.0,0.15428382090863413,96,96
318,53,SFRM26,-4.1087966169266465,-30.0,-0.21366598475302903,96,96
319,53,SFRU26,-6.108482475245009,-30.0,-0.2627193629210288,96,96
320,53,SFRZ26,-2.9782875170789227,-30.0,-0.32523377521534635,96,96
321,53,SFRH27,-0.04823425410781231,-30.0,-0.1555983014599214,96,96
322,53,SFRM27,0.5799908142683851,60.0,-0.13367808542093007,96,96
323,53,SFRU27,0.1979499545636771,60.0,-0.11977823414717007,96,96
324,54,SFRM26,0.7843773995451175,1.0,-0.1928305850468345,96,96
325,54,SFRU26,0.29737067007131573,30.0,0.28849839972181596,96,96
326,54,SFRZ26,0.03902257871608869,-15.0,0.17948073862369832,96,96
327,54,SFRH27,-11.814490581343923,-60.0,-0.247451693215828,96,96
328,54,SFRM27,-4.381359444033641,-5.0,-0.23240990705844414,96,96
329,54,SFRU27,-2.8515463223806776,-1.0,-0.27787787252346846,96,96
330,55,SFRM26,-20.825351308513614,-30.0,-0.4151634340226163,96,96
331,55,SFRU26,-7.098589945831364,-120.0,0.41867480645052446,96,96
332,55,SFRZ26,1.2885012518535346,1.0,-0.27756543708619363,96,96
333,55,SFRH27,2.0994715046408245,1.0,-0.2939886111462639,96,96
334,55,SFRM27,0.9239681354723227,1.0,-0.2549951442261272,96,96
335,55,SFRU27,0.7635966426616055,1.0,-0.2836371367642038,96,96
336,56,SFRM26,-0.18222478683766968,5.0,-0.2598476815876337,96,96
337,56,SFRU26,-6.734110792613421,-1.0,-0.2614254945402253,96,96
338,56,SFRZ26,-2.1285296303611108,-5.0,-0.1844622486282924,96,96
339,56,SFRH27,-9.273379336949855,-15.0,0.24561995394924052,96,96
340,56,SFRM27,-15.796186931616589,-60.0,-0.29493960047849666,96,96
341,56,SFRU27,-0.5830965533313207,30.0,-0.1698762276064709,96,96
342,57,SFRM26,-4.359350609576104,-240.0,-0.22157333060970616,96,39
343,57,SFRU26,-1.602344087730693,-240.0,-0.16348987645811036,96,39
344,57,SFRZ26,-1.2167742312387548,-240.0,-0.12645224339808447,96,39
345,57,SFRH27,0.7704988615341515,1.0,-0.25026818884190133,96,39
346,57,SFRM27,-0.23151728212967787,-240.0,-0.15807165662035835,96,39
347,57,SFRU27,-0.629865599750575,-240.0,-0.3719757883676045,96,39
348,58,SFRM26,-74.33916871337456,-30.0,-0.3861266347040274,96,95
349,58,SFRU26,-2.3084949306270204,-120.0,0.3238206695129529,96,95
350,58,SFRZ26,-17.794117794921593,-120.0,0.38363183716183086,96,95
351,58,SFRH27,-0.1145548240625091,-120.0,0.16391224254943967,96,95
352,58,SFRM27,-0.2238373487743936,-60.0,0.17112112370497143,96,95
353,58,SFRU27,0.9870085698858643,1.0,-0.23538829770897485,96,95
354,59,SFRM26,-5.927210504116721,-120.0,-0.43349132392286277,96,96
355,59,SFRU26,0.18331330526029718,120.0,-0.18478813761026666,96,96
356,59,SFRZ26,0.07843167447955171,30.0,-0.10392621951439265,96,96
357,59,SFRH27,0.01381405143181,-15.0,-0.11069396894728376,96,96
358,59,SFRM27,0.2735422069039969,30.0,0.16444528645339176,96,96
359,59,SFRU27,-0.0846901550672713,30.0,0.20805967440222642,96,96
360,60,SFRM26,0.9637521153693822,1.0,0.1197338902881301,96,96
361,60,SFRU26,-1.3491513478615365,-1.0,-0.18092320082376043,96,96
362,60,SFRZ26,-0.14729900932605428,-1.0,-0.11874832207680654,96,96
363,60,SFRH27,0.8626200751376715,1.0,0.2601797621322677,96,96
