signal,horizon,n_dates,ic_mean,ic_sd,ic_t_naive,ic_t,ic_hit,ic_ir
agg_own__coupon_long_govt__w025,10,1486,0.0010771895152285214,0.17920431798423078,0.23171441510539584,0.11344915475840293,0.49057873485868103,0.03017476649661851
agg_own__coupon_long_govt__w025,21,1475,-0.0029039202466846358,0.17077960604373715,-0.653047374089233,-0.23540215881034715,0.5023728813559322,-0.05890325577982193
agg_own__coupon_long_govt__w025,42,1454,-0.006020816232606269,0.17998972822035783,-1.2755275811603135,-0.3190032167167304,0.49793672627235214,-0.08193760694441363
agg_own__coupon_long_govt__w025,63,1433,-0.0087244303700386,0.18526566751044435,-1.782646498836337,-0.3484690519427324,0.47173761339846476,-0.09418291567213079
agg_own__coupon_long_govt__w05,5,1492,0.0015539481601666344,0.20426036541716758,0.2938575366437109,0.18489318558229462,0.510053619302949,0.054009193269996945
agg_own__coupon_long_govt__w05,10,1487,0.001337351689942576,0.2029974912920851,0.25404487865502623,0.1208771941794738,0.4909213180901143,0.03307160181943705
agg_own__coupon_long_govt__w05,21,1476,-0.0036166938968178034,0.19501901749865494,-0.7124886787079395,-0.2533938040665174,0.5006775067750677,-0.06424294066352694
agg_own__coupon_long_govt__w05,42,1455,0.002097061993286279,0.19938386302837172,0.40119245767669576,0.10225131175944208,0.5030927835051546,0.025763026979792464
agg_own__coupon_long_govt__w05,63,1434,0.009275628610573074,0.2020637092518031,1.738319516603416,0.3501588170874579,0.48675034867503486,0.09180895119582493
agg_own__coupon_long_govt__w1,5,1492,-0.011473994538480959,0.214724910940456,-2.064032917058307,-1.2688855516436865,0.47587131367292224,-0.37935645281134395
agg_own__coupon_long_govt__w1,10,1487,-0.01963814485352373,0.220793373046098,-3.4298087910031563,-1.5784903760659026,0.46402151983860124,-0.4464930419120535
agg_own__coupon_long_govt__w1,21,1476,-0.04023031202472268,0.2134410651257782,-7.241334347348416,-2.5842887729324,0.41937669376693765,-0.6529291295478376
agg_own__coupon_long_govt__w1,42,1455,-0.043303259629105716,0.20109786898618823,-8.213809327556211,-2.3216350776371293,0.4274914089347079,-0.5274590468079822
agg_own__coupon_long_govt__w1,63,1434,-0.0479818899627253,0.19335017753951425,-9.397392165377457,-2.110535859306928,0.4281729428172943,-0.4963211368442568
agg_own__daily_only__w025,5,1491,0.0011223895455858284,0.18040715596817664,0.24023079274827447,0.15371085467828136,0.49966465459423204,0.044167734237154026
agg_own__daily_only__w025,10,1486,-0.000326672740719144,0.17959266065976082,-0.07011867750284732,-0.03412591090879066,0.49057873485868103,-0.009131131180327007
agg_own__daily_only__w025,21,1475,-0.004346146216307935,0.1706276548202273,-0.9782523988910691,-0.34783698094688414,0.5064406779661017,-0.08823594360128534
agg_own__daily_only__w025,42,1454,-0.007346214056692001,0.17950137272770372,-1.5605511495048643,-0.3893762786525842,0.49793672627235214,-0.10024701040840252
agg_own__daily_only__w025,63,1433,-0.011104484969901168,0.18345547916032606,-2.2913468167943094,-0.4540611722892716,0.4703419399860433,-0.12105918036055709
agg_own__daily_only__w05,5,1492,-0.001065219940592804,0.20443360699647317,-0.20126645996232562,-0.1271376098731814,0.510053619302949,-0.03699152745588086
agg_own__daily_only__w05,10,1487,-0.0022845597734428235,0.20270882557173395,-0.4345956271950927,-0.2063992330751386,0.49361129791526565,-0.056575726348657304
agg_own__daily_only__w05,21,1476,-0.006665013770151265,0.19582071265804973,-1.3076321897266339,-0.46651112893912,0.47899728997289975,-0.11790522387901885
agg_own__daily_only__w05,42,1455,0.001864173307284842,0.19742715104512304,0.3601727926600286,0.09167143152651605,0.5140893470790378,0.023128902842349013
agg_own__daily_only__w05,63,1434,0.008718035880400836,0.19917831482505496,1.6574909816893442,0.33875129839991047,0.5034867503486751,0.08754001044800666
