date,pnl,cost,in_pos,richness,nb32,equity,pnl_32nds,pnl_volbp
2020-06-11,0.0,0.0,0,1.9646343473128862e-09,5.543341182419681,0.0,0.0,0.0
2020-06-12,0.0,0.0,0,1.6630718780056223e-09,6.174768093655985,0.0,0.0,0.0
2020-06-15,0.0,0.0,0,2.2995520142813016e-09,2.377625933516356,0.0,0.0,0.0
2020-06-16,0.0,0.0,0,1.102658023531586e-09,5.547656393639954,0.0,0.0,0.0
2020-06-17,0.0,0.0,0,1.916642991854266e-09,2.5164009783793517,0.0,0.0,0.0
2020-06-18,0.0,0.0,0,-2.4523826604056705e-09,-1.1933960460783055,0.0,0.0,0.0
2020-06-19,0.0,0.0,0,3.4420561394286e-10,6.210123942281825,0.0,0.0,0.0
2020-06-22,0.0,0.0,0,2.51032893926131e-10,4.901838964758099,0.0,0.0,0.0
2020-06-23,0.0,0.0,0,3.0595961487171167e-10,4.174784594866651,0.0,0.0,0.0
2020-06-24,0.0,0.0,0,9.549370126895006e-11,8.619050286789388,0.0,0.0,0.0
2020-06-25,0.0,0.0,0,-1.6927969982516442e-09,-0.2531278438582376,0.0,0.0,0.0
2020-06-26,0.0,0.0,0,4.1584914177679623e-11,6.260149234016353,0.0,0.0,0.0
2020-06-29,0.0,0.0,0,1.8943938286653505e-11,6.401000719964941,0.0,0.0,0.0
2020-06-30,0.0,0.0,0,1.10367068799931e-11,6.9580074901305125,0.0,0.0,0.0
2020-07-01,0.0,0.0,0,8.413336872057936e-12,7.3077552537124575,0.0,0.0,0.0
2020-07-02,0.0,0.0,0,1.0613463183266862e-11,3.981130891516841,0.0,0.0,0.0
2020-07-06,0.0,0.0,0,4.693621325168928e-12,2.3809694481105907,0.0,0.0,0.0
2020-07-07,0.0,0.0,0,2.7123739925461684e-13,18.530407678546,0.0,0.0,0.0
2020-07-08,0.0,0.0,0,1.5311342576444543e-10,6.16953697923509,0.0,0.0,0.0
2020-07-09,0.0,0.0,0,2.4040472324193617e-13,8.305400839454705,0.0,0.0,0.0
2020-07-10,0.0,0.0,0,-3.748532064361895e-13,-2.2096560416712236,0.0,0.0,0.0
2020-07-13,0.0,0.0,0,2.9377173575721986e-14,9.209883672004253,0.0,0.0,0.0
2020-07-14,0.0,0.0,0,3.4343869234874114e-14,5.6770788437515876,0.0,0.0,0.0
2020-07-15,0.0,0.0,0,1.6032224137772988e-14,5.8765073748045324,0.0,0.0,0.0
