,engine_per_unit,panel_per_unit,diff
2022-11-14,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-11-15,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-11-16,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-11-17,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-11-18,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-11-21,-524.08182661324,-547.7652669358474,23.683440322607453
2022-11-22,-510.8863266132145,-534.3233314519505,23.43700483873596
2022-11-23,-524.08182661324,-547.7652669358474,23.683440322607453
2022-11-25,-519.2228266132445,-543.3991379035933,24.17631129034885
2022-11-28,-498.3903266132634,-522.5666379036122,24.176311290348792
2022-11-29,-480.33582661313966,-504.75857338735995,24.422746774220286
2022-11-30,-483.1138266131371,-507.78300887122816,24.66918225809104
2022-12-01,-500.12907661312164,-524.9214766131481,24.792400000026475
2022-12-02,-544.574576613259,-569.6134120971561,25.038835483897174
2022-12-05,-537.976826613265,-562.8924443552268,24.915617741961796
2022-12-06,-539.0322782260413,-536.516395968003,-2.515882258038232
2022-12-07,-539.0322782260413,-536.516395968003,-2.515882258038232
2022-12-08,-539.0322782260413,-595.1543395163901,56.122061290348825
2022-12-09,-443.53852822601965,-500.72474274217547,57.186214516155815
2022-12-12,-477.5565282258425,-535.9973233871594,58.44079516131694
2022-12-13,-647.7415282258753,-700.3574846775141,52.615956451638795
2022-12-14,-646.3575282259358,-698.3461943549945,51.98866612905874
2022-12-15,-605.3845282259731,-657.6868395163218,52.30231129034871
2022-12-16,-680.0432782259328,-731.2814362904752,51.238158064542404
2022-12-19,-652.9452782260206,-706.065307258305,53.12002903228438
2022-12-20,-697.0460282260082,-749.4155491937762,52.36952096776804
2022-12-21,-660.5922782259229,-712.4577266130462,51.865448387123365
2022-12-22,-673.0882782258248,-725.894662096819,52.806383870994296
2022-12-23,-643.2222782260294,-696.6559524196039,53.43367419357446
2022-12-27,-625.8522782259308,-680.8541782259572,55.00190000002635
2022-12-28,-643.2222782260294,-696.6559524196039,53.43367419357446
2022-12-29,-634.5510282259467,-686.9205491937146,52.369520967767926
2022-12-30,-532.4620282259525,-585.7724846775916,53.310456451639084
2023-01-03,-553.2945282259336,-606.6049846775727,53.310456451639084
2023-01-04,-553.2945282259336,-606.6049846775727,53.310456451639084
2023-01-05,-545.647528225826,-600.2125653226271,54.56503709680112
2023-01-06,-582.468528225994,-634.838049193762,52.36952096776804
2023-01-09,-581.0845282258767,-632.8267588710647,51.74223064518799
2023-01-10,-550.5265282258454,-602.5824040323233,52.05587580647796
2023-01-11,-550.5265282258454,-602.5824040323233,52.05587580647796
2023-01-12,-585.9635282258961,-635.196597580761,49.23306935486494
2023-01-13,-544.9905282259057,-594.5372427420616,49.54671451615593
2023-01-17,-523.4635282259529,-572.6965975808179,49.23306935486494
2023-01-18,-585.2715282258966,-634.1909524194716,48.91942419357497
2023-01-19,-626.2470282259187,-674.8528072582035,48.60577903228477
2023-01-20,-615.1375282259563,-663.4296620969503,48.29213387099401
2023-01-23,-554.0240282259844,-602.9434524195592,48.919424193574855
2023-01-24,-522.7740282260128,-571.6934524195876,48.919424193574855
2023-01-25,-521.387528225864,-569.6796620968579,48.292133870993894
2023-01-26,-522.0820282258358,-570.6878072581205,48.60577903228477
2023-01-27,-521.3900282258641,-569.6821620968578,48.29213387099378
2023-01-30,-439.44152822591093,-488.36095241948567,48.91942419357474
2023-01-31,-417.91452822593055,-466.5203072582152,48.60577903228466
2023-02-01,-447.78052822593094,-495.7590169356347,47.978488709703754
2023-02-02,-447.78052822593094,-495.7590169356347,47.978488709703754
2023-02-03,-428.334528225921,-476.94030725820573,48.605779032284715
2023-02-06,-398.4710282259482,-447.70409758081297,49.23306935486477
2023-02-07,-397.77902822600794,-446.6984524195828,48.919424193574855
2023-02-08,-366.5290282258588,-415.4484524194336,48.9194241935748
2023-02-09,-346.38852822581794,-395.6215975806827,49.23306935486477
2023-02-10,-366.5290282258588,-415.4484524194336,48.9194241935748
