,engine_mtm_per_unit
2024-11-12,-776.984806451764
2024-11-13,-776.984806451764
2024-11-14,-776.984806451764
2024-11-15,-776.984806451764
2024-11-18,-776.984806451764
2024-11-19,-776.984806451764
2024-11-20,-776.984806451764
2024-11-21,-776.984806451764
2024-11-22,-776.984806451764
2024-11-25,-776.984806451764
2024-11-26,-776.984806451764
2024-11-27,-776.984806451764
2024-11-29,-776.984806451764
2024-12-02,-776.984806451764
2024-12-03,-776.984806451764
2024-12-04,-776.984806451764
2024-12-05,-776.984806451764
2024-12-06,-776.984806451764
2024-12-09,-776.984806451764
2024-12-10,-776.984806451764
2024-12-11,-776.984806451764
2024-12-12,-776.984806451764
2024-12-13,-776.984806451764
2024-12-16,-776.984806451764
2024-12-17,-776.984806451764
2024-12-18,-776.984806451764
2024-12-19,-776.984806451764
2024-12-20,-776.984806451764
2024-12-23,-776.984806451764
2024-12-24,-776.984806451764
2024-12-26,-776.984806451764
2024-12-27,-776.984806451764
2024-12-30,-776.984806451764
2024-12-31,-776.984806451764
2025-01-02,-787.3998064516953
2025-01-03,-873.5153064516761
2025-01-06,-968.6568064518008
2025-01-07,-981.8548064517888
2025-01-08,-1058.3033145163145
2025-01-09,-1058.3033145163145
2025-01-10,-1065.2533145161642
2025-01-13,-1120.118814516207
2025-01-14,-1139.5623145161892
2025-01-15,-1159.0058145163157
2025-01-16,-1084.6993145162057
2025-01-17,-1127.7558145161665
2025-01-21,-1065.2558145162232
2025-01-22,-1023.5883145162612
2025-01-23,-1023.5883145162612
2025-01-24,-1034.0058145162518
2025-01-27,-990.9493145162909
2025-01-28,-959.6993145163194
2025-01-29,-1004.1448145163125
2025-01-30,-1027.7603145162911
2025-01-31,-984.7013145163303
2025-02-03,-995.1188145163208
2025-02-04,-963.8688145161715
2025-02-05,-974.2863145161621
2025-02-06,-965.2603145161702
2025-02-07,-977.0668145161594
2025-02-10,-945.8168145161878
2025-02-11,-935.3993145161974
2025-02-12,-947.2058145162204
2025-02-13,-988.8733145161823
2025-02-14,-978.4558145161917
2025-02-18,-915.9558145162487
2025-02-19,-947.2058145162204
2025-02-20,-947.2058145162204
2025-02-21,-926.373314516239
2025-02-24,-895.1233145162674
2025-02-25,-895.1233145162674
2025-02-26,-895.1233145162674
2025-02-27,-863.8733145162961
2025-02-28,-969.7235564517515
2025-03-03,-969.7235564517515
2025-03-04,-969.7235564517515
2025-03-05,-969.7235564517515
2025-03-06,-969.7235564517515
2025-03-07,-969.7235564517515
2025-03-10,-969.7235564517515
2025-03-11,-969.7235564517515
2025-03-12,-969.7235564517515
2025-03-13,-969.7235564517515
2025-03-14,-969.7235564517515
2025-03-17,-969.7235564517515
2025-03-18,-929.784806451695
2025-03-19,-899.9263064518149
2025-03-20,-916.2470564517408
